,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
128,128,42,756,27,2,670,23,38,287,58,537,73,11,224,163,131,51,998,991,809
129,129,27,990,42,963,1191,165,2,844,349,585,674,604,23,918,1103,62,1268,131,287
130,130,832,849,929,599,548,1256,75,1157,1171,1420,691,13,1060,920,118,825,1147,150,1367
131,131,27,2,42,844,537,756,51,128,23,224,690,70,604,991,73,998,551,344,670
132,132,231,1077,304,253,13,494,1165,299,805,1320,215,1161,1028,465,498,1378,1060,496,74
133,133,548,777,1420,1286,1147,1077,13,362,1060,1161,849,179,657,1308,832,887,599,1418,1110
134,134,51,884,687,611,911,2,681,70,906,516,1118,42,533,504,772,998,537,147,795
135,135,120,236,637,544,684,932,1076,27,742,1030,55,42,1104,73,585,690,794,241,909
136,136,771,664,812,692,184,58,39,551,629,1088,774,811,1037,203,96,1307,836,952,697
137,137,1227,1173,138,557,1441,1035,394,558,969,1246,238,955,944,1128,661,1474,548,1420,1090
138,138,157,137,1386,860,768,104,1072,26,635,696,205,146,984,978,557,1039,1400,1341,21
139,139,492,1474,1434,171,873,1490,1484,1072,238,1302,182,512,860,1355,969,948,181,1461,1386
140,140,1110,631,549,828,161,1215,150,1253,1207,541,977,1272,1049,848,1018,937,556,367,941
141,141,966,968,969,971,36,1386,181,1128,499,1003,1385,797,1469,1238,1173,944,492,939,1068
142,142,224,120,212,42,1076,881,679,55,670,1335,81,27,794,135,991,236,1414,572,73
143,143,304,548,1379,626,231,1385,574,481,1436,1091,207,1026,177,975,26,625,1077,648,146
144,144,530,524,702,425,650,468,506,1198,851,716,65,175,180,466,500,513,87,101,872
145,145,874,367,815,348,949,1253,376,1171,324,1110,299,214,1215,662,653,958,1091,1060,511
146,146,635,244,148,706,205,955,1478,143,13,133,26,558,1120,1077,584,56,1200,21,171
147,147,884,1118,1268,687,1104,349,879,358,1334,167,1306,170,73,637,163,125,794,42,963
148,148,635,1200,398,146,21,26,1365,415,318,706,304,13,1026,465,372,1309,494,323,118
149,149,282,120,904,387,550,27,309,170,12,844,358,240,990,211,522,722,1104,224,160
150,150,849,362,1060,548,541,161,1367,179,1466,130,549,113,929,133,631,13,283,1019,1435
151,151,797,1382,1012,158,531,1441,739,409,788,1118,480,667,714,181,1467,1367,1219,473,145
152,152,171,1302,512,1365,1150,548,490,948,1420,1203,1354,1453,746,1200,1362,113,885,635,122
153,153,642,1329,536,9,27,42,877,1105,1064,921,728,201,687,83,1260,1140,24,889,1342
154,154,687,904,681,674,33,82,170,1105,72,834,51,678,27,42,1118,358,2,884,504
155,155,688,679,632,1339,546,552,1093,1260,1098,744,1327,1352,1064,142,83,124,917,689,24
156,156,439,719,726,773,327,1179,1137,137,1222,1340,723,1441,557,157,1173,227,473,1314,788
157,157,138,929,1441,161,1110,1185,1444,1433,971,715,1270,848,1420,1340,630,635,137,1486,631
158,158,714,797,156,409,788,439,157,1110,473,1128,557,214,727,181,119,1382,721,944,1343
159,159,1320,848,828,214,1340,1043,1018,1488,1399,1077,661,1049,4,1110,394,937,1420,595,494
160,160,2,364,211,533,844,42,637,904,120,287,916,224,23,70,794,448,687,674,701
161,161,848,1018,973,1077,334,1340,714,666,133,635,123,864,415,1253,631,376,13,21,937
162,162,42,918,1177,1103,2,670,88,291,551,1058,888,163,55,287,537,756,1104,516,38
163,163,1104,42,670,2,537,756,1177,932,224,1103,349,88,27,991,222,125,1334,73,23
164,164,537,73,42,27,58,2,909,1300,516,125,163,637,88,1037,135,546,990,62,918
165,165,2,27,1104,585,1334,1268,844,42,918,914,699,247,224,236,1103,904,680,170,703
166,166,133,1110,635,1077,929,1185,494,937,1060,394,1223,505,623,777,253,13,1486,1340,1161
167,167,147,170,42,55,1118,135,120,634,582,850,637,991,932,687,224,2,742,884,358
168,168,42,656,1103,287,756,732,193,774,678,2,23,27,224,703,1118,998,775,837,809
169,169,5,844,27,448,1405,2,170,52,699,537,1170,1020,17,42,900,1125,1029,582,916
170,170,844,2,27,537,1283,931,582,224,1125,73,674,1118,55,42,604,1405,687,236,1053
171,171,955,777,1420,133,1302,13,1393,1079,599,398,415,1462,1478,548,505,660,1206,853,920
172,172,459,527,1445,972,227,978,808,494,60,26,378,21,1365,1059,1346,661,1234,56,608
173,173,205,138,860,238,192,116,26,584,1478,829,459,1350,1441,738,1050,392,505,481,1320
174,174,635,69,896,505,1213,26,133,123,1420,853,394,996,724,937,21,814,778,1194,745
175,144,530,524,702,425,650,468,506,1198,851,716,65,175,180,466,500,513,87,101,872
176,176,338,439,944,1222,1284,719,1390,156,485,797,1208,1068,491,473,1137,557,1244,788,1219
177,177,304,1379,1077,133,1147,574,113,955,825,43,548,481,328,579,179,1420,402,205,1466
178,178,289,550,120,1225,585,438,224,559,300,1158,212,97,760,197,904,358,23,27,236
179,179,362,1286,113,133,832,1060,887,283,875,1168,1253,1486,1466,402,574,1077,548,821,648
180,144,530,524,702,425,650,468,506,1198,851,716,65,175,180,466,500,513,87,101,872
181,181,394,334,1227,1386,739,26,969,1077,943,1122,508,13,1155,657,1110,50,499,929,1340
182,182,1451,717,1420,1115,623,746,1474,1060,478,179,133,362,896,283,599,887,490,394,177
183,183,464,666,299,13,1077,214,1379,1253,1385,446,574,821,1382,1091,648,304,61,905,511
184,184,73,42,537,1104,27,1275,82,1095,734,1300,551,125,1118,678,1037,932,1177,613,879
185,185,106,1340,383,465,541,574,121,661,1234,324,1253,511,304,463,13,972,1009,376,556
186,186,1130,156,1222,1124,857,773,1314,1438,557,205,320,113,137,191,1375,1284,1349,622,200
187,187,83,642,153,921,24,1233,1001,504,536,377,1329,744,674,1135,6,587,9,32,1107
188,188,1021,693,1474,1461,492,857,553,558,1072,945,238,860,137,171,478,1164,1484,1313,512
189,189,1250,1017,1242,17,1061,1301,751,312,25,2,1015,1086,769,27,844,647,79,16,522
190,190,856,56,694,693,867,505,593,592,813,1290,332,753,718,829,1386,1309,205,1161,1254
191,191,1161,205,660,494,934,1018,777,133,1320,13,937,864,1022,1400,1340,1399,735,1077,1074
192,192,856,456,569,205,860,829,1050,584,527,104,202,138,303,56,459,503,1350,1290,21
193,193,77,248,42,14,627,287,656,1107,1027,501,168,73,1153,345,916,222,291,774,2
194,194,558,56,856,1192,1102,1079,753,786,398,894,102,1023,1161,1120,465,411,244,789,264
195,195,694,696,693,191,829,202,973,978,138,205,196,505,1161,1386,787,421,116,74,398
196,196,505,1122,323,814,695,1077,724,1231,787,1320,1161,864,764,803,978,635,937,542,1232
197,197,212,844,1163,1037,224,1104,2,42,909,438,120,349,794,240,699,1411,1080,27,236
198,198,1350,13,1059,1346,327,183,496,1486,227,205,452,597,278,848,511,1234,214,237,574
199,199,304,143,696,1379,422,609,207,915,441,1385,363,177,202,694,404,876,376,238,1466
200,200,191,292,1206,205,820,1022,660,1019,490,1420,494,1392,960,864,1286,1161,1453,666,196
201,201,1351,536,991,879,642,83,27,1107,1045,1047,29,791,42,124,921,930,73,743,606
202,202,696,694,195,192,253,191,205,1350,228,138,978,1077,498,1400,303,633,1349,123,249
203,203,664,756,96,11,629,184,125,747,1136,811,793,932,1087,357,886,809,1118,1372,218
204,204,750,834,1275,991,277,604,201,637,537,812,1104,606,349,800,1177,240,12,938,684
205,205,955,392,191,13,1161,26,1206,1320,388,579,1074,171,1079,292,1333,584,620,1022,1486
206,206,560,803,498,202,633,31,253,814,867,854,339,1311,1466,348,1265,1400,123,74,1297
207,207,304,1077,1379,1378,976,496,508,422,143,915,464,1385,214,1090,1319,929,376,394,1155
208,208,735,1077,494,26,1090,496,821,60,609,1161,459,318,215,827,929,13,214,1340,1028
209,209,974,1046,1096,1062,127,257,1482,1464,50,782,721,181,943,926,873,753,272,1169,786
210,210,1439,588,1350,622,441,323,157,514,518,729,443,503,708,442,237,311,202,397,643
211,211,42,224,2,670,794,88,1334,364,236,23,904,282,844,918,1177,701,1104,33,916
212,212,120,794,1335,224,42,236,1411,1163,679,881,1080,909,197,1282,663,1027,1104,670,438
213,213,1104,794,844,1268,909,349,387,1295,49,32,2,865,1126,73,1142,701,1334,516,877
214,214,666,827,648,595,815,511,464,13,949,1077,626,848,841,929,849,1382,1110,496,875
215,215,1077,777,398,13,304,108,132,494,1320,421,1161,422,208,74,133,253,1079,231,1059
216,216,1061,1294,1242,1020,1405,751,844,1406,170,765,1053,189,537,1283,1125,437,27,769,448
217,217,848,1367,451,1420,1466,362,937,660,820,1253,498,828,230,575,1018,1077,542,895,764
218,218,1300,678,125,42,62,629,756,1334,809,73,909,992,55,591,349,734,990,914,358
219,219,679,1098,1352,1135,688,1249,1327,863,1133,881,1260,794,77,24,27,1107,42,528,533
220,220,133,1308,106,599,171,1060,980,50,548,13,777,967,324,465,362,1418,1420,398,540
221,221,1177,236,42,73,916,701,224,670,1300,909,1429,1105,55,698,573,284,1104,993,674
222,222,224,794,42,703,236,73,27,482,2,1425,410,690,756,881,1103,699,81,916,212
223,223,969,593,584,1028,1033,955,26,880,1422,261,244,700,706,1132,1227,411,785,608,1077
224,224,42,670,236,699,794,2,916,222,1104,27,756,703,212,701,17,909,1177,23,73
225,225,559,105,300,646,1027,289,120,585,267,178,663,364,493,760,457,817,904,600,578
